1,-0.25,0.01,
25,-0.27,0.01,
53,-0.30,0.01,
76,-0.41,0.01,
99,-0.43,0.01,
122,-0.48,0.01,
143,-0.50,0.01,
172,-0.53,0.04,
196,-0.61,0.06,
219,-0.65,0.07,
239,-0.65,0.07,
260,-0.69,0.08,
284,-0.72,0.09,
310,-0.74,0.10,
342,-0.74,0.12,
375,-0.76,0.12,
399,-0.76,0.12,
423,-0.76,0.12,
450,-0.76,0.12,
476,-0.76,0.13,
495,-0.76,0.13,
519,-0.76,0.15,
539,-0.76,0.15,
560,-0.76,0.17,
581,-0.76,0.19,
602,-0.76,0.19,
626,-0.76,0.20,
652,-0.76,0.22,
678,-0.76,0.24,
699,-0.78,0.24,
719,-0.78,0.24,
741,-0.78,0.24,
765,-0.78,0.25,
793,-0.78,0.28,
817,-0.78,0.28,
837,-0.78,0.29,
860,-0.78,0.31,
881,-0.78,0.31,
904,-0.78,0.31,
926,-0.78,0.31,
954,-0.78,0.27,
971,-0.78,0.27,
999,-0.78,0.24,
1020,-0.78,0.22,
1042,-0.78,0.20,
1063,-0.76,0.19,
1094,-0.78,0.15,
1117,-0.78,0.15,
1138,-0.78,0.15,
1160,-0.78,0.13,
1184,-0.80,0.13,
1208,-0.80,0.13,
1238,-0.80,0.13,
1260,-0.80,0.17,
1281,-0.81,0.19,
1302,-0.81,0.20,
1329,-0.81,0.22,
1371,-0.81,0.25,
1395,-0.85,0.28,
1417,-0.85,0.30,
1439,-0.85,0.30,
1461,-0.85,0.30,
1487,-0.85,0.30,
1515,-0.85,0.30,
1537,-0.85,0.30,
1563,-0.82,0.30,
1592,-0.81,0.30,
1617,-0.81,0.30,
1641,-0.83,0.31,
1665,-0.81,0.31,
1695,-0.81,0.31,
1718,-0.81,0.31,
1740,-0.81,0.31,
1763,-0.81,0.31,
1790,-0.81,0.31,
1818,-0.81,0.31,
1840,-0.81,0.27,
1869,-0.82,0.27,
1898,-0.81,0.25,
1921,-0.81,0.25,
1949,-0.81,0.25,
1978,-0.81,0.24,
2001,-0.81,0.23,
2024,-0.81,0.22,
2055,-0.80,0.19,
2079,-0.78,0.15,
2106,-0.76,0.13,
2134,-0.74,0.09,
2158,-0.70,0.04,
2181,-0.65,0.00,
2209,-0.61,-0.02,
2237,-0.57,-0.07,
2261,-0.53,-0.09,
2287,-0.52,-0.09,
2317,-0.52,-0.03,
2340,-0.50,-0.02,
2389,-0.50,-0.03,
2419,-0.50,-0.03,
2441,-0.50,-0.03,
2464,-0.48,-0.03,
2490,-0.46,-0.05,
2516,-0.38,-0.09,
2540,-0.29,-0.13,
2565,-0.23,-0.13,
2596,-0.10,-0.15,
2621,-0.05,-0.14,
2652,-0.02,-0.13,
2679,-0.01,-0.15,
2701,-0.01,-0.17,
2730,0.00,-0.23,
2757,0.00,-0.38,
2780,0.00,-0.41,
2806,0.00,-0.47,
2836,0.01,-0.57,
2859,0.02,-0.61,
2882,0.02,-0.66,
